,x,x,x,x,x,x,x,x,x,x,y,y,y,a,a,a,a,a,z,z,z,z,z,u,u,u,u
0,5,64,24,1,1,1,1,12,0,,0,1,0,,,,2,,576,1,12,0,0,0,1,0,0
1,1,56,32,1,1,1,1,13,3,25,3,1,1,11,80,24,3,12,1024,1,13,0,0,0,1,0,1
2,7,58,30,1,0,0,0,5,1,27,1,1,0,6,83,24,5,7,900,1,5,1,0,0,0,0,1
3,11,45,42,1,0,1,0,4,3,17,2,1,0,1,61,15,3,11,1764,1,4,0,0,0,0,0,1
4,5,45,43,1,1,1,1,11,2,24,2,1,1,3,66,20,2,14,1849,1,11,0,1,0,1,0,1
5,8,52,36,1,0,0,0,7,1,26,1,1,1,11,76,24,4,9,1296,1,7,0,0,0,0,0,1
6,7,51,37,1,1,1,1,16,4,20,4,1,1,5,78,26,4,17,1369,1,16,0,0,1,0,0,1
7,9,70,18,1,1,1,1,10,0,,0,1,1,,,,4,,324,1,10,0,0,1,0,0,0
8,12,53,34,0,1,0,0,5,1,19,1,1,1,7,72,18,4,3,1156,1,5,0,1,0,0,0,1
9,9,39,49,1,1,0,0,4,0,,0,1,0,11,61,22,4,1,2401,1,4,1,0,0,0,0,1
10,6,46,42,1,1,1,1,15,3,25,3,1,1,6,70,24,3,16,1764,1,15,0,0,0,1,0,1
11,10,59,29,1,1,0,0,7,3,23,3,1,1,1,84,24,6,7,841,1,7,1,0,0,0,0,1
12,12,42,45,1,1,0,0,0,4,18,2,1,0,1,66,23,6,,2025,1,0,1,0,0,0,1,1
13,2,40,48,1,1,0,0,4,10,19,8,1,1,10,66,26,4,3,2304,1,4,0,1,0,1,0,1
14,1,53,35,1,1,1,1,12,3,23,3,1,1,1,74,21,3,16,1225,1,12,0,1,0,1,0,1
15,6,62,26,1,1,0,0,7,0,,0,1,1,,,,4,,676,1,7,0,0,1,1,0,0
16,1,50,38,1,1,0,1,7,4,23,4,1,1,,,,5,,1444,1,7,0,1,0,1,0,0
17,8,41,47,1,1,0,0,5,2,17,2,1,0,,,,1,,2209,1,5,1,0,0,0,0,0
18,4,56,32,1,1,1,0,16,0,,0,1,1,12,81,25,2,16,1024,1,16,0,1,0,1,0,1
19,7,61,27,1,1,1,0,12,1,24,1,1,1,11,84,23,3,16,729,1,12,1,0,0,0,0,1
20,12,64,23,1,1,1,0,12,0,,0,1,1,1,83,18,2,12,529,1,12,0,1,0,0,0,1
21,3,49,39,1,1,1,1,11,4,28,4,1,0,4,72,23,4,16,1521,1,11,0,1,0,1,0,1
22,3,50,38,1,1,1,1,12,2,29,2,1,0,3,75,25,4,14,1444,1,12,0,0,0,1,0,1
23,7,49,39,1,1,0,1,6,4,18,4,1,0,11,67,18,4,10,1521,1,6,1,0,0,0,0,1
24,8,67,21,1,1,0,1,10,1,21,1,1,0,,,,1,,441,1,10,1,0,0,0,0,0
25,6,45,43,1,1,1,1,16,2,23,2,1,1,5,68,22,4,15,1849,1,16,0,1,0,1,0,1
26,1,47,41,1,1,1,1,13,6,19,6,1,1,3,65,18,6,15,1681,1,13,0,1,0,1,0,1
27,10,42,46,1,1,1,1,3,3,20,2,1,0,,,,4,,2116,1,3,0,1,0,0,0,0
