,mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urbeduc,spirit,protest,catholic,frsthalf,educ0,evermarr
2378,9.0,70.0,18.0,0.0,0.0,0.0,1.0,10.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,324.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
376,10.0,64.0,24.0,0.0,0.0,0.0,0.0,7.0,2.0,19.0,2.0,1.0,1.0,5.0,80.0,15.0,4.0,0.0,576.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0
1948,9.0,48.0,39.0,1.0,0.0,0.0,0.0,5.0,3.0,26.0,3.0,1.0,0.0,1.0,76.0,27.0,3.0,7.0,1521.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0
3893,3.0,66.0,22.0,0.0,1.0,0.0,1.0,7.0,2.0,18.0,1.0,1.0,1.0,12.0,84.0,18.0,3.0,7.0,484.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
568,11.0,55.0,33.0,0.0,1.0,0.0,0.0,0.0,4.0,17.0,4.0,1.0,1.0,6.0,82.0,26.0,6.0,0.0,1089.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1457,6.0,73.0,15.0,1.0,1.0,1.0,0.0,3.0,0.0,18.0,0.0,0.0,0.0,1.0,87.0,19.0,4.0,0.0,225.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
1586,6.0,61.0,27.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,1.0,1.0,0.0,11.0,80.0,19.0,4.0,0.0,729.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
1554,12.0,47.0,40.0,0.0,1.0,0.0,1.0,4.0,6.0,18.0,6.0,1.0,1.0,8.0,65.0,17.0,10.0,0.0,1600.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0
2686,9.0,54.0,34.0,0.0,1.0,0.0,0.0,1.0,3.0,19.0,3.0,1.0,0.0,7.0,76.0,21.0,6.0,0.0,1156.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
551,6.0,52.0,36.0,0.0,1.0,0.0,0.0,4.0,6.0,23.0,6.0,1.0,1.0,2.0,70.0,17.0,4.0,0.0,1296.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0
3983,1.0,54.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,6.0,0.0,1156.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3688,6.0,70.0,18.0,0.0,0.0,0.0,0.0,7.0,1.0,17.0,1.0,1.0,1.0,9.0,85.0,15.0,3.0,5.0,324.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3449,5.0,68.0,20.0,0.0,1.0,0.0,0.0,6.0,1.0,17.0,1.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
755,3.0,71.0,17.0,0.0,0.0,0.0,0.0,9.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,6.0,0.0,289.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0
254,10.0,63.0,25.0,0.0,1.0,0.0,0.0,10.0,1.0,19.0,1.0,1.0,0.0,6.0,85.0,21.0,5.0,0.0,625.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0
2649,2.0,67.0,21.0,1.0,1.0,1.0,1.0,1.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,2.0,0.0,441.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2822,2.0,70.0,18.0,0.0,0.0,0.0,1.0,8.0,0.0,18.0,0.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,324.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
871,6.0,69.0,19.0,0.0,1.0,0.0,0.0,3.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,361.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
3951,8.0,45.0,43.0,0.0,0.0,0.0,0.0,0.0,6.0,18.0,6.0,1.0,1.0,9.0,61.0,16.0,15.0,0.0,1849.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2638,12.0,59.0,28.0,0.0,1.0,0.0,0.0,7.0,3.0,19.0,2.0,1.0,1.0,1.0,87.0,19.0,4.0,0.0,784.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,9.0,58.0,29.0,1.0,1.0,0.0,0.0,7.0,2.0,20.0,2.0,1.0,1.0,9.0,74.0,16.0,4.0,0.0,841.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0
4031,8.0,71.0,17.0,0.0,1.0,0.0,1.0,6.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,4.0,0.0,289.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
4007,2.0,57.0,31.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,2.0,1.0,1.0,3.0,72.0,15.0,5.0,6.0,961.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2313,3.0,68.0,20.0,0.0,0.0,0.0,1.0,8.0,2.0,18.0,2.0,1.0,0.0,12.0,85.0,17.0,5.0,0.0,400.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2825,6.0,70.0,18.0,0.0,1.0,0.0,0.0,7.0,1.0,17.0,1.0,1.0,0.0,1.0,87.0,19.0,1.0,0.0,324.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
4105,12.0,65.0,22.0,0.0,1.0,0.0,0.0,8.0,3.0,15.0,3.0,1.0,0.0,4.0,87.0,21.0,4.0,10.0,484.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1071,7.0,54.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,10.0,0.0,1156.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1295,12.0,70.0,17.0,0.0,1.0,0.0,0.0,7.0,0.0,18.0,0.0,1.0,0.0,1.0,87.0,19.0,5.0,0.0,289.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
